,cluster_selection_method,hdbscan_metric,min_cluster_size,n_components,n_neighbors,topic_merge_delta,umap_metric,loss
517,eom,euclidean,25,20,20,0.1,cosine,122.0
133,eom,euclidean,25,9,15,0.15,cosine,122.0
336,eom,euclidean,25,9,20,0.1,cosine,123.0
354,eom,euclidean,25,9,40,0.1,euclidean,123.0
297,eom,euclidean,25,9,20,0.05,euclidean,124.0
153,eom,euclidean,25,9,45,0.1,cosine,126.0
410,eom,euclidean,25,9,45,0.1,cosine,126.0
241,eom,euclidean,20,13,45,0.1,euclidean,127.0
471,eom,euclidean,25,3,25,0.1,cosine,127.0
554,eom,euclidean,20,5,40,0.1,euclidean,128.0
204,eom,euclidean,20,3,45,0.05,cosine,128.0
446,eom,euclidean,25,7,20,0.05,euclidean,128.0
505,eom,euclidean,25,5,15,0.1,euclidean,128.0
231,eom,euclidean,20,20,45,0.1,euclidean,129.0
420,eom,euclidean,25,9,20,0.1,cosine,129.0
233,eom,euclidean,25,20,20,0.05,euclidean,130.0
271,eom,euclidean,25,17,20,0.1,euclidean,130.0
247,eom,euclidean,25,13,20,0.1,euclidean,130.0
437,eom,euclidean,20,13,40,0.1,cosine,131.0
361,eom,euclidean,25,9,25,0.05,cosine,131.0
572,eom,euclidean,20,5,40,0.05,euclidean,131.0
45,eom,euclidean,25,17,20,0.05,cosine,133.0
501,eom,euclidean,15,3,55,0.1,cosine,133.0
296,eom,euclidean,20,20,45,0.1,cosine,134.0
178,leaf,euclidean,25,3,10,0.15,cosine,134.0
224,eom,euclidean,25,20,15,0.1,euclidean,136.0
140,eom,euclidean,25,9,20,0.1,cosine,136.0
211,eom,euclidean,25,9,20,0.05,euclidean,136.0
98,eom,euclidean,25,9,15,0.1,cosine,137.0
449,eom,euclidean,25,5,15,0.1,euclidean,137.0
7,leaf,euclidean,25,3,5,0.15,cosine,137.0
185,eom,euclidean,20,17,20,0.15,cosine,138.0
435,eom,euclidean,25,5,15,0.1,cosine,140.0
284,eom,euclidean,20,9,20,0.15,euclidean,140.0
353,eom,euclidean,25,9,15,0.05,cosine,140.0
386,eom,euclidean,25,3,25,0.05,euclidean,140.0
191,eom,euclidean,25,3,10,0.1,cosine,140.0
321,eom,euclidean,25,5,25,0.05,cosine,141.0
249,eom,euclidean,15,13,45,0.15,euclidean,143.0
542,eom,euclidean,20,5,45,0.1,euclidean,143.0
550,eom,euclidean,20,5,15,0.15,euclidean,143.0
273,eom,euclidean,25,13,15,0.1,euclidean,144.0
200,eom,euclidean,25,23,15,0.1,cosine,144.0
120,eom,euclidean,25,20,15,0.1,cosine,145.0
187,eom,euclidean,25,9,15,0.1,euclidean,145.0
459,eom,euclidean,20,9,55,0.1,cosine,145.0
104,eom,euclidean,25,9,15,0.1,cosine,146.0
513,eom,euclidean,25,13,25,0.1,euclidean,146.0
547,eom,euclidean,20,5,45,0.1,euclidean,146.0
491,eom,euclidean,25,5,15,0.1,cosine,147.0
347,eom,euclidean,25,7,25,0.1,euclidean,148.0
529,eom,euclidean,20,9,25,0.1,euclidean,149.0
561,eom,euclidean,20,5,40,0.1,euclidean,149.0
461,eom,euclidean,25,20,20,0.1,cosine,149.0
197,eom,euclidean,25,17,20,0.05,cosine,150.0
139,eom,euclidean,20,13,55,0.1,cosine,151.0
532,eom,euclidean,20,5,45,0.1,cosine,151.0
543,eom,euclidean,20,5,25,0.1,euclidean,152.0
311,eom,euclidean,25,17,20,0.1,euclidean,153.0
35,eom,euclidean,20,9,25,0.15,euclidean,153.0
570,eom,euclidean,20,5,40,0.05,euclidean,155.0
114,eom,euclidean,15,3,45,0.1,cosine,155.0
391,leaf,euclidean,25,5,45,0.1,euclidean,155.0
470,eom,euclidean,20,5,45,0.1,euclidean,155.0
155,eom,euclidean,25,5,10,0.1,cosine,156.0
212,eom,euclidean,25,23,15,0.1,cosine,156.0
327,leaf,euclidean,25,5,45,0.1,euclidean,157.0
396,eom,euclidean,25,9,5,0.15,cosine,159.0
240,eom,euclidean,25,13,10,0.05,euclidean,159.0
377,leaf,euclidean,25,5,45,0.1,euclidean,160.0
184,leaf,euclidean,25,9,55,0.1,cosine,162.0
277,eom,euclidean,25,9,10,0.1,cosine,162.0
349,leaf,euclidean,25,9,55,0.1,cosine,162.0
29,leaf,euclidean,25,20,55,0.05,euclidean,162.0
506,leaf,euclidean,25,13,45,0.1,cosine,165.0
504,eom,euclidean,20,9,20,0.1,cosine,165.0
536,eom,euclidean,20,5,40,0.05,euclidean,165.0
450,leaf,euclidean,25,17,45,0.1,cosine,166.0
522,leaf,euclidean,25,9,45,0.1,cosine,166.0
175,eom,euclidean,25,9,15,0.1,cosine,166.0
306,leaf,euclidean,25,13,45,0.1,euclidean,167.0
498,leaf,euclidean,25,5,45,0.1,cosine,167.0
495,eom,euclidean,25,23,10,0.1,cosine,167.0
81,leaf,euclidean,25,23,45,0.1,cosine,168.0
514,leaf,euclidean,25,9,45,0.1,cosine,169.0
72,leaf,euclidean,25,3,45,0.05,euclidean,169.0
362,leaf,euclidean,25,7,45,0.1,cosine,171.0
398,leaf,euclidean,25,20,45,0.1,cosine,171.0
222,eom,euclidean,20,9,20,0.1,cosine,171.0
332,eom,euclidean,15,5,45,0.1,euclidean,171.0
331,eom,euclidean,25,5,5,0.15,cosine,172.0
203,eom,euclidean,25,9,10,0.1,cosine,172.0
363,eom,euclidean,15,20,55,0.1,euclidean,173.0
451,eom,euclidean,25,13,10,0.1,cosine,173.0
215,eom,euclidean,25,5,10,0.1,cosine,174.0
242,eom,euclidean,25,13,5,0.15,euclidean,174.0
37,leaf,euclidean,25,20,45,0.05,euclidean,175.0
480,eom,euclidean,25,9,10,0.1,cosine,175.0
458,leaf,euclidean,25,13,45,0.1,cosine,176.0
519,eom,euclidean,25,5,15,0.05,cosine,176.0
214,leaf,euclidean,25,9,40,0.1,cosine,176.0
63,eom,euclidean,20,7,10,0.15,euclidean,177.0
421,eom,euclidean,25,5,15,0.1,cosine,178.0
341,leaf,euclidean,25,23,40,0.1,cosine,178.0
445,eom,euclidean,15,9,55,0.1,cosine,178.0
226,leaf,euclidean,25,20,40,0.05,euclidean,182.0
116,eom,euclidean,25,7,10,0.1,cosine,182.0
548,eom,euclidean,20,5,20,0.05,euclidean,183.0
282,eom,euclidean,15,9,55,0.05,euclidean,186.0
467,eom,euclidean,15,17,45,0.1,cosine,187.0
165,eom,euclidean,15,9,40,0.15,cosine,188.0
59,leaf,euclidean,25,7,10,0.15,euclidean,189.0
11,eom,euclidean,20,7,10,0.15,cosine,191.0
84,eom,euclidean,15,13,45,0.1,euclidean,191.0
50,eom,euclidean,20,5,25,0.1,euclidean,192.0
456,eom,euclidean,15,5,45,0.1,cosine,192.0
158,eom,euclidean,15,9,45,0.1,cosine,193.0
167,eom,euclidean,25,3,10,0.1,cosine,194.0
312,eom,euclidean,15,13,45,0.1,cosine,195.0
137,eom,euclidean,15,7,45,0.05,cosine,198.0
316,eom,euclidean,25,9,10,0.1,cosine,199.0
365,eom,euclidean,20,9,15,0.1,euclidean,201.0
352,eom,euclidean,15,17,45,0.1,cosine,202.0
210,eom,euclidean,15,20,45,0.1,cosine,202.0
334,leaf,euclidean,25,7,25,0.1,euclidean,203.0
533,eom,euclidean,20,5,20,0.1,euclidean,204.0
195,leaf,euclidean,25,9,25,0.1,cosine,205.0
531,leaf,euclidean,20,5,45,0.1,euclidean,206.0
252,eom,euclidean,25,13,10,0.1,euclidean,209.0
279,eom,euclidean,25,3,5,0.1,euclidean,211.0
40,leaf,euclidean,25,20,25,0.05,cosine,213.0
566,leaf,euclidean,20,5,40,0.1,euclidean,214.0
438,eom,euclidean,25,9,10,0.1,cosine,214.0
232,leaf,euclidean,25,20,25,0.1,euclidean,215.0
549,leaf,euclidean,20,5,45,0.1,euclidean,215.0
31,leaf,euclidean,25,20,20,0.1,euclidean,216.0
173,leaf,euclidean,25,20,20,0.1,cosine,219.0
574,leaf,euclidean,20,5,40,0.05,euclidean,225.0
534,eom,euclidean,20,5,15,0.1,cosine,226.0
373,eom,euclidean,15,3,25,0.1,cosine,227.0
26,leaf,euclidean,20,7,40,0.1,euclidean,228.0
558,leaf,euclidean,20,5,40,0.05,euclidean,232.0
22,eom,euclidean,15,17,25,0.1,euclidean,232.0
325,eom,euclidean,20,5,15,0.1,cosine,233.0
440,eom,euclidean,25,20,5,0.1,cosine,234.0
205,eom,euclidean,25,7,5,0.1,euclidean,235.0
32,eom,euclidean,20,9,5,0.15,euclidean,235.0
183,eom,euclidean,15,13,25,0.05,cosine,239.0
538,eom,euclidean,20,5,10,0.1,euclidean,239.0
254,eom,euclidean,25,13,5,0.1,euclidean,240.0
64,eom,euclidean,15,5,25,0.1,cosine,240.0
124,eom,euclidean,20,9,10,0.1,cosine,242.0
129,eom,euclidean,15,17,20,0.1,cosine,243.0
46,leaf,euclidean,20,5,10,0.15,cosine,244.0
49,leaf,euclidean,25,13,15,0.1,cosine,245.0
395,eom,euclidean,20,13,10,0.1,euclidean,246.0
33,eom,euclidean,20,20,10,0.05,euclidean,246.0
128,eom,euclidean,10,13,55,0.15,cosine,246.0
172,eom,euclidean,10,13,55,0.15,cosine,247.0
286,leaf,euclidean,25,17,15,0.1,cosine,248.0
119,eom,euclidean,15,17,20,0.1,cosine,251.0
313,leaf,euclidean,25,9,15,0.05,euclidean,251.0
199,eom,euclidean,10,9,45,0.15,euclidean,251.0
256,leaf,euclidean,15,7,25,0.15,cosine,252.0
218,eom,euclidean,25,9,5,0.1,cosine,258.0
125,eom,euclidean,25,5,5,0.1,cosine,262.0
340,eom,euclidean,10,9,45,0.15,cosine,262.0
540,leaf,euclidean,20,5,5,0.15,euclidean,263.0
468,eom,euclidean,25,20,5,0.1,euclidean,268.0
135,eom,euclidean,10,3,40,0.1,cosine,269.0
54,leaf,euclidean,20,13,5,0.15,cosine,269.0
66,leaf,euclidean,20,23,25,0.1,euclidean,270.0
525,eom,euclidean,25,9,5,0.1,cosine,273.0
42,leaf,euclidean,20,9,25,0.1,euclidean,273.0
10,leaf,euclidean,20,23,5,0.15,euclidean,277.0
56,leaf,euclidean,20,17,25,0.05,euclidean,279.0
426,eom,euclidean,25,20,5,0.1,cosine,280.0
380,eom,euclidean,10,17,40,0.15,cosine,280.0
357,eom,euclidean,25,20,5,0.1,euclidean,281.0
